"Marca temporal","Ingresa tu edad","2. Disfruto iniciar conversaciones con personas que acabo de conocer.","3. Mantengo mi espacio de trabajo limpio y ordenado de forma constante.","4. Me adapto rápidamente cuando cambian mis planes a última hora.","5. Busco soluciones originales y diferentes cuando me enfrento a un problema.","6. Persisto en mis tareas hasta terminarlas, incluso cuando se vuelven difíciles.","7. Ofrezco mi ayuda a otros miembros del equipo antes de que me la pidan.","8. Mantengo la calma y la concentración durante situaciones de alta presión.","9. Tomo decisiones con rapidez y seguridad cuando debo elegir entre varias opciones.","10. Me siento cómodo siendo el centro de atención en reuniones o eventos colectivos.","11. Planifico detalladamente mis actividades diarias antes de ejecutarlas.","12. Disfruto probar formas nuevas e inusuales de hacer las cosas cotidianas.","13. Mantengo mi compromiso con una meta a largo plazo a pesar de los obstáculos.","14. Priorizo el bienestar general del grupo por encima de mis opiniones individuales.","15. Recupero el control emocional rápidamente después de un contratiempo.","16. Asumo la responsabilidad directiva para resolver una situación ambigua.","17. Disfruto escuchar música rock.","18. Disfruto escuchar música pop.","19. Disfruto escuchar música electrónica.","20. Disfruto escuchar música clásica o instrumental.","21. Escucho música mientras trabajo o estudio.","22. Escucho música para relajarme.","23. Descubro música nueva con frecuencia.","24. La letra de una canción es importante para mí.","25. Escucho música todos los días."
"2026/07/21 9:34:34 p.m. GMT-6","34","1","5","1","2","1","2","2","1","1","2","3","2","2","3","1","1","1","4","2","1","2","2","1","1"
"2026/07/21 9:49:26 p.m. GMT-6","27","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","1","4","1","1"
"2026/07/21 10:00:56 p.m. GMT-6","20","4","4","3","3","5","4","4","3","2","2","3","3","3","4","3","4","4","4","4","5","5","4","4","5"
"2026/07/21 10:39:30 p.m. GMT-6","23","2","4","2","3","2","3","1","2","3","3","3","3","2","2","3","5","5","5","3","5","5","5","5","5"
"2026/07/21 11:19:08 p.m. GMT-6","20","2","4","3","3","3","3","2","2","2","4","3","4","3","4","3","2","5","4","2","3","4","4","3","5"
"2026/07/22 3:13:33 a.m. GMT-6","26","5","3","4","3","2","4","3","3","2","1","5","4","3","2","2","4","4","1","1","5","5","2","5","5"
"2026/07/22 8:53:53 a.m. GMT-6","23","3","5","2","4","5","3","3","1","1","3","3","3","3","4","3","3","3","3","3","5","1","1","1","3"
"2026/07/22 4:23:16 p.m. GMT-6","28","4","2","5","5","2","5","5","3","5","4","5","3","2","3","2","3","5","4","4","5","5","3","5","5"
"2026/07/22 4:23:39 p.m. GMT-6","30 ","2","4","4","5","5","4","5","3","3","3","4","4","4","5","3","2","5","5","3","5","5","4","2","5"
"2026/07/22 4:25:48 p.m. GMT-6","17","4","3","1","2","2","3","3","3","5","3","3","2","1","1","2","1","5","5","5","5","5","3","5","4"
"2026/07/22 4:28:20 p.m. GMT-6","31","3","3","3","4","4","4","4","4","5","4","4","4","3","4","4","4","4","4","4","4","4","3","3","4"
"2026/07/22 4:28:52 p.m. GMT-6","22","2","5","3","3","4","3","4","2","3","4","3","3","3","4","4","2","4","1","2","5","4","2","3","3"
"2026/07/22 4:36:21 p.m. GMT-6","29","2","2","3","4","3","4","2","2","1","3","2","2","1","2","4","1","5","2","2","4","5","2","3","3"
"2026/07/22 6:02:57 p.m. GMT-6","22","4","4","2","3","3","3","2","2","1","1","5","3","4","3","3","1","3","2","1","5","5","3","5","5"
"2026/07/22 8:34:10 p.m. GMT-6","19","5","3","3","4","3","5","4","3","3","4","4","3","5","5","3","4","4","5","4","5","5","5","4","5"
