Ingresa tu edad,2. Disfruto iniciar conversaciones con personas que acabo de conocer.,3. Mantengo mi espacio de trabajo limpio y ordenado de forma constante.,4. Me adapto rápidamente cuando cambian mis planes a última hora.,5. Busco soluciones originales y diferentes cuando me enfrento a un problema.,"6. Persisto en mis tareas hasta terminarlas, incluso cuando se vuelven difíciles.",7. Ofrezco mi ayuda a otros miembros del equipo antes de que me la pidan.,8. Mantengo la calma y la concentración durante situaciones de alta presión.,9. Tomo decisiones con rapidez y seguridad cuando debo elegir entre varias opciones.,10. Me siento cómodo siendo el centro de atención en reuniones o eventos colectivos.,11. Planifico detalladamente mis actividades diarias antes de ejecutarlas.,12. Disfruto probar formas nuevas e inusuales de hacer las cosas cotidianas.,13. Mantengo mi compromiso con una meta a largo plazo a pesar de los obstáculos.,14. Priorizo el bienestar general del grupo por encima de mis opiniones individuales.,15. Recupero el control emocional rápidamente después de un contratiempo.,16. Asumo la responsabilidad directiva para resolver una situación ambigua.,17. Disfruto escuchar música rock.,18. Disfruto escuchar música pop.,19. Disfruto escuchar música electrónica.,20. Disfruto escuchar música clásica o instrumental.,21. Escucho música mientras trabajo o estudio.,22. Escucho música para relajarme.,23. Descubro música nueva con frecuencia.,24. La letra de una canción es importante para mí.,25. Escucho música todos los días.
35,2,5,5,4,1,2,5,5,1,1,3,1,1,5,2,1,5,5,5,1,4,5,3,2
17,1,1,1,4,5,1,5,3,5,2,1,1,2,4,1,1,3,2,2,5,1,1,1,5
27,2,5,2,1,4,4,3,5,1,1,1,5,2,5,3,2,1,1,1,5,2,3,5,1
17,5,1,5,2,5,1,1,1,1,2,3,2,1,5,1,5,1,3,1,4,5,1,5,5
17,1,5,5,5,1,2,5,1,5,5,4,2,5,1,1,1,3,4,1,5,4,1,5,5
27,5,3,1,5,5,5,4,2,3,4,3,5,1,1,5,5,5,1,2,3,4,5,5,1
34,4,4,1,3,1,4,5,4,1,1,5,1,1,1,1,5,1,5,1,5,3,2,1,4
26,3,1,2,4,2,1,2,5,1,5,5,3,5,5,5,4,1,1,1,1,1,4,1,5
17,1,2,5,1,5,1,1,3,5,1,3,4,1,1,5,1,5,4,5,5,3,1,4,4
36,2,4,1,5,4,5,5,1,5,4,3,2,1,4,5,1,2,3,1,4,3,2,1,5
17,5,5,3,5,5,3,4,5,5,3,5,5,3,4,3,5,1,1,4,5,4,5,2,3
17,3,1,2,5,1,5,1,5,1,2,5,2,5,5,3,5,1,1,5,5,5,5,4,3
18,2,2,5,1,4,2,5,1,1,5,2,5,5,5,4,2,5,1,5,4,4,1,1,4
36,5,5,1,2,5,3,5,3,5,1,5,3,1,1,5,5,5,5,3,3,1,3,4,4
28,5,1,4,4,4,4,2,1,2,4,3,5,1,1,5,2,5,3,2,3,1,5,1,1
22,1,5,2,5,1,5,5,1,5,4,3,5,2,1,1,5,1,2,5,1,5,2,5,4
28,5,4,5,3,5,3,2,1,5,1,5,2,4,1,1,3,1,1,4,5,1,5,4,5
19,5,4,5,1,1,3,3,5,4,5,3,1,1,3,1,3,5,5,2,5,3,1,5,3
17,1,1,1,5,1,5,5,3,3,3,4,4,5,1,5,2,4,5,1,4,5,4,1,1
32,1,2,5,5,1,2,3,1,3,1,4,4,1,5,1,1,2,5,1,5,5,2,5,4
36,4,5,2,1,3,4,1,5,1,1,5,5,1,1,3,5,3,5,1,5,5,5,5,2
34,1,1,5,5,4,5,4,1,5,3,5,3,5,5,5,1,1,4,1,5,3,2,4,1
17,5,2,2,5,1,2,2,4,5,5,4,2,5,5,5,5,2,1,5,5,5,3,5,5
20,5,5,5,4,1,4,5,1,4,2,1,5,5,1,5,2,4,3,4,5,4,5,3,2
28,1,4,4,4,1,5,4,2,1,4,4,1,1,1,1,1,5,1,5,2,3,1,5,2
36,1,3,5,1,1,5,3,4,2,5,4,5,1,4,1,3,4,1,1,5,5,4,5,5
17,1,1,3,1,3,1,1,4,5,3,5,2,2,1,2,5,3,5,5,5,5,1,5,1
22,3,1,4,3,5,3,3,5,1,2,1,3,5,5,1,5,5,1,4,5,4,1,5,1
17,1,4,2,1,4,2,5,3,5,4,1,3,3,3,1,5,1,5,5,2,4,5,1,5
17,3,5,3,5,4,1,1,4,3,2,5,1,1,2,5,2,2,5,5,5,5,1,5,1
35,3,1,1,1,5,5,3,2,3,2,1,5,4,1,1,3,1,1,1,2,5,2,1,2
36,4,1,4,5,5,5,1,3,1,5,5,5,5,1,1,4,1,5,1,1,5,5,1,1
23,4,4,5,3,5,2,1,4,3,3,2,5,5,1,2,1,5,1,4,5,1,1,2,3
36,1,4,4,3,2,4,3,3,4,5,1,4,5,5,5,5,5,5,1,3,5,5,5,5
29,1,1,1,2,5,4,4,1,1,3,4,1,4,2,3,1,1,4,1,2,5,2,5,5
17,3,4,1,3,2,5,5,4,4,1,5,5,1,3,5,5,1,4,1,3,2,5,5,5
29,1,2,1,5,5,4,2,4,1,1,5,5,3,5,2,1,2,1,4,5,5,5,5,5
36,5,5,5,1,1,3,3,1,1,1,5,3,4,5,1,2,5,1,5,5,5,5,1,1
24,3,4,1,5,4,2,1,1,4,1,1,3,3,5,1,1,1,5,1,4,2,5,5,1
36,5,5,3,4,1,4,5,5,5,4,1,2,5,1,3,1,2,4,5,5,5,5,5,5
17,5,5,3,1,5,3,4,4,4,1,2,2,3,1,3,5,4,1,3,1,5,2,5,5
35,5,1,5,1,5,4,5,2,1,1,1,1,2,5,5,5,4,1,1,5,5,5,5,5
25,4,5,3,5,2,3,5,1,5,3,5,4,5,5,5,1,5,1,5,1,4,4,1,4
20,4,1,5,1,5,2,4,1,1,1,5,1,2,4,5,5,3,5,1,5,5,3,5,5
25,5,5,5,1,2,1,2,5,5,4,4,1,3,1,1,5,3,1,3,1,2,4,1,1
17,2,1,5,5,1,5,4,3,1,4,3,5,5,5,5,1,1,2,2,3,2,5,3,5
21,5,2,2,4,1,4,3,1,1,4,3,1,1,3,5,4,5,5,5,5,4,5,5,4
29,2,5,5,1,1,5,5,5,1,1,5,3,1,4,2,3,5,1,1,5,5,5,5,1
24,2,3,1,4,5,1,5,5,3,3,1,5,5,5,1,5,5,1,5,1,5,5,5,3
17,1,2,5,1,1,5,2,5,2,3,1,1,1,4,1,1,5,1,1,2,2,2,3,5
17,1,5,1,5,2,3,1,5,4,1,5,1,5,1,4,3,4,5,1,5,5,1,1,3
17,1,1,2,5,4,5,5,2,3,1,1,4,1,2,4,1,1,5,1,5,2,3,1,5
36,5,3,5,5,4,3,5,1,1,3,5,5,1,5,2,1,1,5,5,5,1,5,5,1
28,5,2,5,4,3,4,2,1,4,5,5,1,4,1,4,5,5,5,5,5,3,5,5,3
17,3,3,5,5,4,3,5,1,1,1,1,4,3,4,1,1,5,1,1,1,5,5,5,1
31,4,5,1,3,2,2,3,1,1,1,1,5,4,5,5,5,5,5,1,3,5,4,4,1
25,3,2,5,1,1,4,5,3,1,1,5,1,5,2,2,1,5,4,1,5,4,4,1,2
36,1,3,1,5,2,1,1,1,1,5,1,5,1,4,4,1,3,5,5,2,3,5,4,5
17,1,2,1,5,5,1,2,1,1,2,1,5,3,1,4,4,1,3,1,1,3,1,5,5
20,5,5,5,1,3,5,5,2,5,5,2,3,1,2,1,1,5,2,3,4,5,5,1,2
19,1,5,2,5,5,1,5,4,4,1,1,5,1,5,5,5,1,5,5,5,1,1,5,1
17,2,4,4,4,1,3,5,4,5,1,5,5,1,2,1,2,3,5,1,1,3,5,1,5
28,1,5,1,3,5,1,1,1,5,5,1,4,1,2,4,5,5,5,3,4,4,4,4,3
27,2,2,4,1,1,2,5,2,1,1,1,2,5,1,1,5,2,4,5,5,1,5,5,1
24,1,5,4,5,4,4,5,1,1,4,1,1,1,5,2,1,1,1,5,5,2,5,5,5
21,3,5,2,5,5,5,1,5,1,2,1,5,5,5,4,3,3,1,4,2,5,5,5,5
17,2,1,1,4,5,5,2,5,5,1,1,5,1,5,1,3,1,4,3,5,4,5,5,3
19,2,1,2,1,3,1,3,1,2,2,5,3,1,1,1,5,1,1,2,5,3,5,5,5
20,5,2,3,1,1,2,1,1,5,1,4,1,5,3,3,3,1,1,5,5,2,3,5,1
17,5,1,2,5,5,5,2,2,5,2,5,5,1,2,3,3,3,5,2,3,5,5,1,5
22,1,3,1,5,3,3,5,1,3,3,5,4,5,2,4,2,1,2,1,1,2,1,4,1
29,1,1,5,5,3,1,2,4,1,2,2,3,5,1,2,3,2,4,5,5,5,4,1,2
36,5,3,1,3,1,2,4,2,2,1,5,5,4,2,5,5,2,4,1,5,3,5,5,5
26,5,5,2,2,1,3,4,5,3,4,4,5,5,5,2,5,5,1,2,5,4,5,1,5
27,1,3,5,1,5,2,3,1,5,5,2,1,3,1,5,5,5,5,2,5,5,5,5,5
23,2,3,5,5,5,3,1,1,3,2,4,4,5,5,1,5,3,1,5,5,1,3,5,5
17,5,5,2,5,4,3,5,1,1,5,5,1,1,5,2,2,5,4,5,5,4,1,5,3
24,1,2,3,1,1,3,1,1,5,1,5,5,5,3,5,4,5,4,4,5,5,3,5,1
25,5,5,5,5,1,1,3,1,2,1,5,4,5,3,2,1,5,3,3,1,5,5,5,5
36,5,5,1,5,1,4,5,5,1,4,4,5,5,1,1,5,1,1,1,5,4,3,3,5
21,5,4,5,5,2,4,2,1,1,2,1,2,5,1,5,1,3,5,1,2,4,1,1,2
28,1,4,1,1,1,5,1,3,4,5,5,1,1,3,3,2,1,5,4,5,5,1,1,5
24,3,5,5,1,1,1,5,2,1,5,5,2,5,5,4,5,3,5,5,5,5,4,1,3
17,2,5,5,3,5,4,4,1,2,5,3,4,5,3,1,1,3,5,3,2,2,4,4,5
36,5,5,1,5,1,1,5,2,5,5,3,5,1,4,5,4,5,5,1,2,2,5,5,3
34,1,5,5,5,5,3,3,4,4,1,2,1,5,1,5,1,1,4,5,5,5,1,2,5
34,5,1,5,5,5,5,1,1,1,4,2,5,3,5,5,1,1,1,3,1,1,4,2,5
17,5,3,2,3,4,5,5,5,5,5,5,2,1,5,5,5,1,5,5,4,5,1,1,5
36,3,1,2,2,5,4,5,1,5,1,2,4,1,5,2,3,2,4,5,5,5,2,3,3
17,5,5,1,5,1,5,5,2,1,3,3,2,5,3,4,1,3,1,5,5,5,5,3,5
32,4,5,2,1,1,3,1,4,1,1,3,4,4,5,4,1,5,1,5,1,3,1,3,1
36,5,1,1,5,2,2,4,1,5,5,3,5,2,5,1,5,1,2,1,4,2,5,5,5
17,2,2,1,3,5,5,2,5,1,1,2,1,5,5,3,4,4,2,5,5,5,5,5,5
17,1,4,5,5,2,5,1,2,4,1,3,2,3,5,1,5,4,1,4,3,4,4,3,5
25,5,1,1,5,2,1,4,5,5,2,4,4,1,5,2,5,5,1,5,5,3,5,5,5
17,5,5,4,3,5,1,3,1,1,5,4,5,3,3,5,1,3,5,5,5,4,1,5,5
17,4,5,3,2,3,2,5,1,1,5,3,1,1,5,1,5,5,5,5,3,5,5,5,3
25,2,4,5,3,1,5,3,4,2,5,5,5,1,2,5,3,5,1,5,5,1,5,1,5
17,5,2,2,4,1,4,4,5,5,1,1,5,1,1,1,1,5,2,3,5,3,4,1,3
30,1,1,4,4,5,1,2,1,5,1,1,3,1,2,3,1,2,1,5,5,2,5,1,1
17,1,5,5,2,1,3,1,2,3,5,1,3,1,3,4,1,5,2,1,1,5,3,1,5
36,5,2,5,3,4,3,1,4,1,1,1,2,5,1,5,5,5,2,5,5,2,5,4,3
17,5,5,2,4,5,1,1,5,2,1,5,3,1,5,3,5,4,2,5,5,1,5,1,4
20,4,5,1,1,5,3,3,1,1,5,5,1,5,1,1,1,5,5,4,1,1,2,5,3
35,2,1,1,5,1,1,5,1,5,1,1,3,1,5,4,2,5,2,5,4,1,1,1,3
17,5,2,5,1,3,1,2,2,4,1,4,5,2,5,5,3,2,1,1,5,5,1,4,5
27,5,5,5,1,2,4,1,5,1,3,5,2,1,2,3,1,2,1,1,1,4,5,3,5
36,5,3,3,1,1,1,1,5,1,1,3,3,1,3,1,1,2,5,4,2,5,2,2,5
17,1,2,5,1,5,2,3,2,2,5,2,1,3,4,2,2,1,1,5,4,5,3,5,1
26,2,4,3,1,3,2,5,1,2,1,5,5,1,1,4,2,1,1,4,3,4,1,1,5
27,2,2,5,2,5,3,5,4,3,1,1,4,4,4,2,1,5,5,5,5,4,5,5,5
34,5,5,3,5,1,5,4,5,3,3,5,4,5,3,2,4,4,4,3,5,5,1,2,3
17,1,3,4,2,5,1,4,3,5,2,4,3,4,3,5,5,5,4,1,2,5,2,5,5
17,5,5,4,4,5,3,1,1,1,4,5,3,4,4,5,2,3,5,4,4,5,5,4,1
31,2,2,2,4,4,4,2,5,1,4,1,5,5,1,3,3,5,4,3,5,5,1,5,5
28,5,5,5,4,1,1,5,5,1,2,1,3,3,3,3,5,1,1,5,4,2,3,5,5
27,5,3,5,3,2,3,2,1,1,1,1,4,1,4,4,5,3,2,3,2,3,5,5,5
28,4,3,5,1,5,5,3,4,4,5,3,4,1,5,5,1,4,1,2,5,2,5,4,5
17,1,3,4,5,4,1,3,5,1,1,4,5,1,2,5,3,1,5,3,1,5,4,1,5
27,1,5,1,5,5,3,2,5,2,1,5,5,1,5,2,5,1,5,3,4,3,4,5,5
28,2,5,5,1,3,1,3,3,5,2,1,4,5,2,1,1,5,5,2,3,2,3,5,2
17,1,5,2,1,3,3,1,2,5,1,4,5,5,4,2,5,5,5,2,2,5,5,1,5
36,5,1,4,3,1,4,5,5,4,4,5,4,1,5,1,5,1,2,2,5,4,1,1,4
30,1,5,5,1,1,5,5,1,5,4,5,5,1,3,1,1,3,1,5,5,5,4,5,1
17,5,5,4,5,5,5,2,4,1,5,2,5,1,4,5,3,1,3,4,2,5,4,5,5
32,5,2,5,2,1,1,4,1,1,2,2,1,4,3,5,5,4,1,5,1,5,5,4,2
17,2,3,5,5,3,3,5,5,5,5,3,5,5,5,1,1,5,4,4,1,4,5,5,1
34,4,1,2,5,2,1,5,2,5,4,4,4,4,2,4,5,5,5,1,5,1,4,4,3
36,3,5,5,5,5,2,2,5,1,3,5,3,1,5,1,3,5,3,5,5,3,5,4,2
17,5,3,2,1,2,5,1,4,1,5,1,4,2,3,2,1,5,4,5,4,5,5,4,5
36,5,5,5,5,5,5,4,1,1,3,1,3,1,1,1,4,5,3,5,1,1,1,4,5
29,4,4,2,2,4,5,4,5,4,2,1,4,1,5,3,1,3,5,5,4,5,3,5,5
35,5,1,1,1,1,5,2,5,1,3,5,2,5,2,3,5,2,1,5,1,4,2,3,2
36,1,1,5,4,5,3,3,5,4,2,5,5,5,5,1,1,5,1,5,5,4,2,5,5
21,5,1,5,5,5,5,4,1,5,4,1,3,1,1,5,2,5,5,1,2,2,1,1,5
17,4,1,2,4,1,5,4,2,2,5,1,3,3,3,5,5,1,5,4,1,5,5,5,5
17,1,2,5,1,5,4,4,1,3,3,5,1,5,2,1,5,5,5,1,5,1,4,3,5
17,3,5,2,1,5,5,3,1,5,3,5,4,1,1,5,1,3,1,3,4,5,3,4,5
23,2,1,3,3,4,4,4,5,1,5,5,4,1,1,2,1,2,1,1,5,5,1,2,1
28,1,1,5,3,5,5,2,3,1,5,1,4,5,1,5,1,5,5,4,5,5,5,5,5
28,1,5,1,1,2,1,5,1,5,2,5,1,1,3,1,4,5,4,4,4,1,1,3,5
35,3,5,1,1,3,2,2,1,3,3,3,1,2,1,4,4,1,3,5,4,5,4,2,3
24,1,4,3,5,3,5,3,2,5,5,5,5,1,4,1,1,3,5,4,5,5,4,5,5
36,2,4,5,5,2,3,1,3,3,4,5,5,1,5,1,1,1,1,1,3,5,4,5,5
21,5,3,4,5,3,4,2,2,5,1,1,1,3,4,1,4,1,5,5,5,1,1,1,1
36,5,5,4,2,1,1,5,5,4,5,4,5,3,5,1,2,1,3,5,1,2,4,5,5
32,1,1,3,5,2,3,1,5,4,4,5,4,4,5,1,5,1,1,5,5,3,1,5,5
17,4,3,5,5,5,2,2,4,5,5,2,3,3,5,1,3,3,3,1,5,2,1,1,1
17,4,2,1,4,1,1,1,2,5,1,4,2,2,5,4,5,1,5,1,1,5,5,1,3
30,5,3,1,3,1,5,1,3,5,3,1,1,1,2,1,1,1,2,1,5,1,5,5,3
21,5,5,3,5,4,5,1,3,1,5,5,5,2,1,4,1,5,1,5,5,5,4,5,5
33,1,2,5,1,4,5,3,1,5,1,3,2,1,5,5,1,1,3,5,2,1,1,5,2
30,2,5,5,5,5,3,4,1,1,1,5,2,1,5,1,5,3,1,1,2,1,4,3,5
23,5,2,1,4,3,3,3,4,5,5,5,5,1,5,3,5,1,5,4,2,1,5,2,3
17,5,5,5,3,4,1,2,5,1,1,2,1,5,5,2,1,5,5,5,1,3,5,5,5
17,2,4,2,5,2,4,2,5,2,2,1,1,4,3,2,1,3,1,5,5,5,5,1,3
18,5,2,3,2,1,4,5,1,3,1,1,3,3,4,1,1,1,1,5,2,5,2,3,1
35,5,4,5,2,3,5,4,5,1,5,2,3,5,1,1,1,1,5,5,1,1,4,5,4
27,5,3,5,5,5,5,2,1,3,4,5,5,1,5,5,5,1,1,1,4,5,5,5,3
17,5,4,5,1,5,4,5,5,1,2,1,3,5,2,4,4,5,1,2,5,5,5,1,2
26,5,5,2,2,1,3,5,1,1,2,1,5,2,2,3,3,5,1,3,2,5,1,5,3
29,1,3,2,3,4,5,1,1,3,1,5,3,4,2,1,1,3,5,3,3,5,4,3,5
17,5,3,5,5,1,1,5,4,5,3,5,3,5,1,5,5,3,4,5,5,5,5,1,3
26,2,1,1,4,5,5,5,1,2,5,1,2,2,1,1,1,2,1,5,1,5,5,2,1
25,1,5,4,1,4,1,4,1,5,1,1,4,1,1,2,5,5,3,1,3,2,5,1,3
17,5,5,1,2,5,2,4,2,5,5,5,5,1,1,1,1,3,5,1,1,5,3,2,4
29,5,1,5,2,3,1,3,3,1,2,3,5,1,1,4,2,5,1,1,5,5,1,1,1
31,2,5,5,3,3,5,5,2,4,5,1,1,5,5,3,4,5,1,4,5,5,5,5,5
36,5,1,5,4,5,4,5,1,5,1,5,3,5,5,5,4,4,5,4,4,2,5,5,5
36,1,5,5,4,5,2,1,1,3,5,5,4,5,5,5,3,1,3,4,2,5,1,5,5
17,5,5,1,1,4,1,3,4,5,5,5,5,4,5,1,1,5,1,1,2,2,3,1,5
17,5,5,5,5,3,5,1,4,5,2,1,3,5,5,3,1,5,5,5,4,1,5,4,1
31,3,2,1,4,1,3,3,3,3,1,4,5,3,1,2,3,5,5,5,5,5,5,5,5
31,3,5,5,5,4,1,1,5,2,5,2,1,5,1,1,3,4,1,5,1,1,1,2,2
31,5,5,1,5,3,5,4,4,4,1,5,5,5,1,1,4,5,1,1,3,5,2,3,2
36,5,5,1,5,5,2,1,1,5,4,5,5,4,2,3,3,1,5,3,5,5,1,5,5
31,1,2,1,5,5,5,2,2,1,1,5,1,1,2,3,3,5,5,5,5,5,5,5,5
36,1,4,2,5,5,1,5,1,4,5,5,1,2,2,3,1,5,5,5,5,3,3,4,5
36,3,5,1,5,4,3,1,3,3,2,2,1,5,4,3,1,2,5,5,3,5,5,5,5
32,1,5,1,3,3,5,1,5,1,3,5,5,2,5,1,5,3,5,1,4,5,5,5,3
20,2,3,5,5,1,3,4,5,2,1,1,1,5,1,5,5,5,5,5,5,5,4,4,3
34,1,5,5,5,1,4,2,5,1,1,3,3,5,1,4,5,3,5,2,4,5,3,5,5
17,2,5,4,5,5,2,3,2,1,5,5,5,5,1,2,4,1,5,1,5,5,4,3,4
21,2,1,5,1,5,1,1,1,3,3,1,3,5,1,4,1,2,2,1,2,4,4,5,5
18,4,5,4,1,3,5,5,2,3,5,4,4,4,2,1,1,1,4,3,5,2,5,5,5
25,3,1,1,4,1,1,1,5,2,1,4,1,1,1,3,3,1,1,1,4,5,5,3,5
36,5,5,1,4,1,4,5,3,1,1,1,5,1,2,4,3,5,3,3,3,5,2,5,1
17,4,4,1,3,5,5,2,5,1,1,4,2,1,1,5,2,5,1,1,5,4,5,5,5
33,5,4,5,4,1,4,4,5,4,3,4,3,5,3,1,4,1,1,4,2,5,5,5,4
17,5,5,1,5,5,2,2,2,5,5,5,4,2,1,5,3,2,1,1,5,5,1,5,5
18,5,3,4,5,4,5,2,3,5,5,5,4,3,1,5,3,1,1,5,5,5,5,1,2
36,5,3,5,1,5,5,1,5,5,1,5,3,4,1,5,1,5,2,5,1,5,5,3,1
36,4,5,4,3,5,4,5,2,1,5,5,2,1,3,2,5,5,3,1,5,5,4,5,5
17,5,5,4,1,5,4,1,1,2,5,1,3,2,1,4,1,5,5,5,1,5,5,5,3
17,5,5,5,2,4,5,4,5,5,4,3,3,4,5,3,1,1,1,1,5,1,2,2,5
33,3,4,4,2,5,2,1,2,1,1,5,1,2,4,2,1,1,2,3,2,2,5,4,2
17,2,4,5,2,4,4,4,3,1,1,3,2,2,3,1,4,5,5,5,5,5,3,2,5
27,5,5,1,1,1,2,5,5,5,3,5,4,1,1,1,5,5,5,1,3,5,1,5,5
25,5,1,4,1,5,5,1,1,4,2,5,1,2,1,5,3,1,5,2,3,3,1,2,5
17,5,3,1,2,5,1,5,1,1,5,5,5,5,5,2,1,5,4,3,2,5,5,4,4
36,5,5,1,1,2,1,3,3,1,1,1,5,2,3,4,1,3,4,2,1,3,1,2,5
32,1,3,3,5,2,2,5,1,5,1,3,1,1,5,5,5,4,5,5,1,1,1,5,5
17,1,2,5,5,2,5,5,2,1,1,3,5,5,4,3,1,1,5,1,1,2,5,5,5
26,5,5,5,2,2,5,5,3,5,1,5,3,5,5,5,2,1,5,1,1,1,5,5,5
17,3,5,5,3,1,5,1,5,1,2,1,4,4,3,2,5,1,3,1,5,2,4,5,5
35,5,3,5,1,1,2,2,1,5,4,1,2,1,4,1,5,5,5,5,5,1,4,5,1
17,1,3,5,5,1,4,1,5,1,3,4,2,1,1,5,1,4,5,2,5,3,1,5,1
22,5,2,4,5,4,5,5,3,5,4,2,1,1,2,5,1,5,1,2,1,1,5,4,2
31,1,3,1,4,4,1,2,5,4,2,2,1,4,4,3,3,5,2,3,4,2,5,5,1
35,1,5,3,5,3,5,3,2,5,2,1,1,5,4,5,1,3,3,5,5,5,5,3,4
17,5,4,5,4,3,5,4,1,1,5,4,1,5,5,1,5,5,5,4,1,5,5,5,5
20,1,1,5,1,5,5,3,4,2,5,1,4,5,5,4,3,1,5,5,5,1,2,5,4
18,4,4,1,2,4,5,2,2,2,4,5,5,2,1,4,3,2,3,5,5,2,3,5,3
17,3,5,5,4,5,4,1,1,1,5,1,5,2,1,5,1,1,1,1,1,2,5,1,5
36,1,2,5,2,1,5,4,5,4,1,2,3,3,4,5,5,5,4,1,1,4,1,1,5
29,3,4,4,3,5,4,4,1,4,1,4,1,2,1,5,5,5,1,2,3,5,3,5,1
17,1,5,3,3,1,5,5,1,4,2,5,2,5,5,1,2,2,1,1,5,5,5,1,5
36,5,1,5,3,2,1,5,5,5,1,3,5,1,5,1,4,1,1,3,5,1,3,5,4
36,5,3,5,4,2,5,1,1,1,1,5,2,1,3,4,3,5,4,5,1,4,5,5,5
36,1,4,1,1,3,4,3,1,5,4,1,4,1,1,5,2,1,5,1,4,3,1,5,3
